title,url,discounted_price,original_price
Authentic asMODus Minikin 3 200W Touch Screen Box Mod - Black,https://www.cigabuy.com/authentic-asmodus-minikin-3-200w-touch-screen-box-mod-black-p-15494.html,$13.78,$66.37 
Authentic asMODus Lustro 200W TC Box Mod - Teal,https://www.cigabuy.com/authentic-asmodus-lustro-200w-tc-box-mod-teal-p-11916.html,$15.91,$88.27 
Authentic asMODus Minikin 3 200W Touch Screen Box Mod - Blue,https://www.cigabuy.com/authentic-asmodus-minikin-3-200w-touch-screen-box-mod-blue-p-15493.html,$13.78,$66.37 
Authentic asMODus Lustro 200W TC Box Mod - Teal,https://www.cigabuy.com/authentic-asmodus-lustro-200w-tc-box-mod-teal-p-21927.html,$20.47,$25.23 
Authentic VGOD Pro 200W TC Starter Kit - Red,https://www.cigabuy.com/authentic-vgod-pro-200w-tc-starter-kit-red-p-13197.html,$21.61,$91.82 
Authentic VGOD Pro 200W TC Starter Kit - Grey,https://www.cigabuy.com/authentic-vgod-pro-200w-tc-starter-kit-grey-p-13198.html,$21.61,$91.54 
4 x Authentic Uwell CROWN 4 IV FeCrAl UN2 Mesh Coil Head 0.23ohm,https://www.cigabuy.com/4-x-authentic-uwell-crown-4-iv-fecral-un2-mesh-coil-head-023ohm-p-13572.html,$9.12,$11.92 
Authentic asMODus Minikin 3 200W Touch Screen Box Mod - Coffee,https://www.cigabuy.com/authentic-asmodus-minikin-3-200w-touch-screen-box-mod-coffee-p-22119.html,$13.78,$66.37 
Authentic asMODus Colossal 80W Box Mod - Peal White,https://www.cigabuy.com/authentic-asmodus-colossal-80w-box-mod-peal-white-p-22235.html,$18.18,$23.39 
4 x Authentic Uwell Caliburn G UN2 Meshed-H 0.8ohm Coil,https://www.cigabuy.com/4-x-authentic-uwell caliburn-g-un2-meshed-h-08ohm-coil-p-19943.html,$7.94,$15.10 
Authentic asMODus Colossal 80W Box Mod - Peal White,https://www.cigabuy.com/authentic-asmodus-colossal-80w-box-mod-peal-white-p-22082.html,$13.78,$54.03 
5 x Authentic Geekvape Zeus Sub-Ohm Mesh Coil Z0.2 0.2ohm Ka1,https://www.cigabuy.com/5-x-authentic-geekvape-zeus-sub-ohm-mesh-coil-z02-02ohm-ka1-p-15780.html,$11.32,$12.65 
Authentic VapX Geyser 100W Pod Kit Without Battery - Stardust Gray,https://www.cigabuy.com/authentic-vapx-geyser-100w-pod-kit-without-battery-stardust-gray-p-19691.html,$11.36,$62.89 
Authentic Exvape EXpromizer TCX Mesh RDTA 7ml 25mm - Polished,https://www.cigabuy.com/authentic-exvape-expromizer-tcx-mesh-rdta-7ml-25mm-polished-p-18571.html,$13.78,$27.06 
Authentic Wotofo MDura MOD - King Kong Black,https://www.cigabuy.com/authentic-wotofo-mdura-mod-king-kong-black-p-21610.html,$45.24,$45.24
Authentic asMODus Colossal 80W Box Mod - Orange,https://www.cigabuy.com/authentic-asmodus-colossal-80w-box-mod-orange-p-22081.html,$9.09,$54.03 
4 x Authentic Uwell Caliburn A2 Refillable Pod Cartridge UN2 Meshed-H 0.9ohm,https://www.cigabuy.com/4-x-authentic-uwell-caliburn-a2-refillable-pod-cartridge-un2-meshed-h-09ohm-p-21872.html,$15.09,$15.09
Authentic Demon Killer Muscle Cotton by Wick N Vape,https://www.cigabuy.com/authentic-demon-killer-muscle-cotton-by-wick-n-vape-p-9848.html,$1.14,$5.19 
4 x Authentic Uwell Crown 5 FeCrAl UN2 Single Meshed Coil 0.23ohm,https://www.cigabuy.com/4-x-authentic-uwell-crown-5-fecral-un2-single-meshed-coil-023ohm-p-20280.html,$10.20,$15.47 
Authentic asMODus Minikin 3 200W Touch Screen Box Mod - Black+Blue,https://www.cigabuy.com/authentic-asmodus-minikin-3-200w-touch-screen-box-mod-blackblue-p-22291.html,$28.43,$132.28 
Authentic Steam Crave Hadron Pro DNA250C 400W MOD - Silver,https://www.cigabuy.com/authentic-steam-crave-hadron-pro-dna250c-400w-mod-silver-p-21504.html,$128.10,$200.30 
Authentic Vapswarm Vape Coiling Tool Kit for E-Cigarette,https://www.cigabuy.com/authentic-vapswarm-vape-coiling-tool-kit-for-e-cigarette-p-12755.html,$5.67,$8.91 
Xiaomi 3D Men Electric Shaver Razor Enchen BlackStone3 IPX7 Waterproof,https://www.cigabuy.com/xiaomi-3d-men-electric-shaver-razor-enchen-blackstone3-ipx7-waterproof-p-20146.html,$13.78,$14.23 
Authentic asMODus Colossal 80W Box Mod - Green,https://www.cigabuy.com/authentic-asmodus-colossal-80w-box-mod-green-p-22080.html,$9.09,$54.03 
